idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
6;18.00.00 - Химические технологии;1047,5;12,00%;13,90%;11;0
7;18.00.00 - Химические технологии;158;1,90%;2,10%;11;0
10;18.00.00 - Химические технологии;11;0,20%;0,20%;11;0
11;18.00.00 - Химические технологии;78,7;0,30%;1,00%;11;0
20;18.00.00 - Химические технологии;237;3,10%;3,10%;11;0
21;18.00.00 - Химические технологии;3979;61,50%;52,70%;11;0
22;18.00.00 - Химические технологии;1996;7,60%;26,40%;11;0
24;18.00.00 - Химические технологии;2;0,00%;0,00%;11;0
26;18.00.00 - Химические технологии;12;0,30%;0,20%;11;0
27;18.00.00 - Химические технологии;30,2;1,10%;0,40%;11;0
