;Univ¿llSources;extraBudgetarySources;shareextraBudgetarySources;federalBudget;localBudget;incomeEducationalActivities;total income ;extraBudgetaryFunds;extraBudgetaryResearch
1;9 558 298,50;1 631 848,80;17,07;82,93;0;9,09;85,08;9,77;12,17
2;584 325,20;550 413,80;94,2;5,8;0;92,53;7,47;93,73;100
3;3 418 867,40;884 530,90;25,87;73,72;0,41;39,21;51,71;25,03;18,46
4;10 449 045,60;4 913 614,70;47,02;52,98;0;42,68;35,7;16,05;83,84
5;4 649 980,80;1 505 517,30;32,38;67,4;0,22;37,69;34,44;16,4;53,85
6;6 259 812,00;3 666 889,80;58,58;41,35;0,07;59,7;11,84;37,23;84,65
7;3 356 840,80;788 421,40;23,49;75,97;0,55;79,14;4,94;22,35;47,99
8;6 972 764,70;3 291 873,10;47,21;52,57;0,22;47,51;27,66;25,27;79,02
9;27 720 873,70;13 399 907,00;48,34;51,66;0;66,67;18,77;52,37;52,98
10;6 539 240,10;3 159 920,70;48,32;51,68;0;42,29;24,66;10,9;87,93
11;13 320 886,10;8 611 728,90;64,65;35,2;0,16;77,56;4,18;64,77;33,14
12;8 886 281,10;4 625 483,40;52,05;46,61;1,34;81,95;10,11;47,38;82,37
13;1 022 546,50;253 898,70;24,83;75,17;0;79,59;11,32;18,54;88,97
14;10 551 484,30;3 070 723,40;29,1;70,24;0,66;61,64;21,51;15,2;75,76
15;2 588 617,30;1 024 927,00;39,59;60,41;0;80,03;14,92;26,41;89,88
16;1 139 754,40;709 535,80;62,25;37,75;0;91,12;5,65;58,57;100
17;1 969 759,40;195 513,60;9,93;89,31;0,77;82,52;9,21;6,36;8,54
18;5 291 354,40;1 959 912,10;37,04;62,96;0;58,48;17,57;25,36;96,26
19;5 311 458,10;1 287 877,50;24,25;75,7;0,06;60,96;15,12;16,8;43,87
20;3 532 403,40;785 181,10;22,23;75,65;2,12;70,64;0,97;23,67;60,52
21;3 397 766,10;883 730,20;26,01;73,99;0;55,42;21,82;11,46;52,49
22;8 822 967,50;2 770 727,80;31,4;68,34;0,26;77,11;9,79;30,96;43,74
23;1 543 941,00;395 841,50;25,64;74,36;0;85,59;0,22;13,12;100
24;15 384 696,20;4 187 929,00;27,22;72,64;0,14;61,68;22,33;14,67;47,7
25;1 376 391,80;431 169,70;31,33;68,67;0;68,47;11,58;23,5;88,01
26;1 886 824,10;668 610,30;35,44;62,48;2,09;70,97;9,72;30,55;99,67
27;1 356 053,80;707 864,00;52,2;47,8;0;83,57;10,41;46,16;88,54
28;7 977 666,50;2 608 756,30;32,7;64,93;2,37;58,63;20,51;19,24;69,9
29;1 195 090,20;211 995,00;17,74;82,15;0,11;89,07;2,63;13,71;39,63
