;students enrolled in bachelo; includingFullTimeEducation;fullTimeEvening;correspondence education;AverageScoreExam;proportionStudentsBachelor;n the total;share of students enrolled in master;totalNumberStudentsAdditional;totalNumberStudentsEnrolledSecondaryVocational;numberEnterprisesContracts;numberEnterprisesContractsBasesPractice
1;557;557;0;0;0;100;0;100;47;0;0;0
2;2 529;688;776;1 065;56;27,2;89,28;9,09;55;481;0;48
3;6 363;4 149;81;2 133;71,75;65,21;87,19;9,89;1 110;1 366;0;144
4;7 664;7 664;0;0;95,81;100;66,24;33,01;4 699;0;145;111
5;4 849;4 688;84;77;74,66;96,68;82,04;16,91;1 259;0;38;305
6;9 489;8 523;853;113;76,44;89,82;62,43;22,89;9 362;0;0;1 020
7;11 213;7 807;1 171;2 235;72,94;69,62;76,38;11,67;1 609;0;12;1 202
8;8 624;8 415;0;209;81,22;97,58;62,67;22,5;4 300;0;0;724
9;37 856;36 854;759;243;89,05;97,35;70,76;28,18;23 968;0;3;356
10;6 059;5 821;238;0;90,11;96,07;53,01;26,89;5 766;0;249;212
11;27 890;22 866;2 992;2 032;70,06;81,99;58,1;14,88;24 605;0;159;1 072
12;30 265;15 407;2 548;12 310;57,88;50,91;42,83;8,65;36 514;6 552;191;2 644
13;3 761;2 390;86;1 285;68,03;63,55;83,86;13,35;1 454;0;0;0
14;18 001;15 999;925;1 077;78,5;88,88;58,56;14,59;8 425;0;153;128
15;7 731;5 924;341;1 466;63,51;76,63;60,16;9,12;979;0;5;1 433
16;2 956;1 991;965;0;75,05;67,35;85,08;14,92;584;0;0;0
17;4 634;4 586;48;0;69,74;98,96;71,02;22,87;2 009;0;19;784
18;12 080;10 749;0;1 331;70,58;88,98;73,63;16,88;4 338;0;72;85
19;12 913;9 965;407;2 541;66,56;77,17;80,83;13,47;4 738;251;789;789
20;9 468;7 262;824;1 382;75,82;76,7;84,01;11,72;3 137;892;612;261
21;6 924;6 410;76;438;77,48;92,58;70,12;13,03;9 967;7;12;192
22;26 507;26 359;4;144;73,11;99,44;73,37;8,94;3 623;1 326;592;592
23;4 326;2 689;0;1 637;64,93;62,16;70,5;8,55;1 680;0;0;4
24;22 566;22 566;0;0;79,79;100;48,02;10,23;4 776;1 277;2 016;5 508
25;3 939;3 073;0;866;69,44;78,01;62,38;9,24;622;1 251;113;136
26;6 141;4 160;516;1 465;73,18;67,74;77,85;12,1;3 121;724;0;696
27;6 498;2 076;1 182;3 240;66,93;31,95;87,49;10,28;12 471;1 216;927;958
28;17 837;12 915;2 023;2 899;69,72;72,41;84,73;14,09;6 268;0;910;836
29;3 731;2 485;101;1 145;64,41;66,6;45,91;7,85;77;0;8;16
