"iddistribution_student_organization_all_with_full_time";"number";"distribution_student_organization_subject"
1;"557";"студентов бакалавриата, специалитета, магистратуры(0,07% от контингента по субъекту РФ)"
2;"2 529";"студентов бакалавриата, специалитета, магистратуры(0,33% от контингента по субъекту РФ)"
3;"6 363";"студента бакалавриата, специалитета, магистратуры(0,82% от контингента по субъекту РФ)"
4;"7 664";"студента бакалавриата, специалитета, магистратуры(0,99% от контингента по субъекту РФ)"
5;"4 849";"студентов бакалавриата, специалитета, магистратуры(0,62% от контингента по субъекту РФ)"
6;"9 489";"студентов бакалавриата, специалитета, магистратуры(1,22% от контингента по субъекту РФ)"
7;"11 213";"студентов бакалавриата, специалитета, магистратуры(1,44% от контингента по субъекту РФ)"
8;"8 624";"студента бакалавриата, специалитета, магистратуры(1,11% от контингента по субъекту РФ)"
9;"37 856";"студентов бакалавриата, специалитета, магистратуры(4,88% от контингента по субъекту РФ)"
10;"6 059";"студентов бакалавриата, специалитета, магистратуры(0,78% от контингента по субъекту РФ)"
11;"27 890";"студентов бакалавриата, специалитета, магистратуры(3,59% от контингента по субъекту РФ)"
12;"30 265";"студентов бакалавриата, специалитета, магистратуры(3,90% от контингента по субъекту РФ)"
13;"3 761";"студент бакалавриата, специалитета, магистратуры(0,48% от контингента по субъекту РФ)"
14;"18 001";"студентов бакалавриата, специалитета, магистратуры(2,32% от контингента по субъекту РФ)"
15;"7 731";"студент бакалавриата, специалитета, магистратуры(1,00% от контингента по субъекту РФ)"
16;"2 956";"студентов бакалавриата, специалитета, магистратуры(0,38% от контингента по субъекту РФ)"
17;"4 634";"студента бакалавриата, специалитета, магистратуры(0,60% от контингента по субъекту РФ)"
18;"12 080";"студентов бакалавриата, специалитета, магистратуры(1,56% от контингента по субъекту РФ)"
19;"12 913";"студентов бакалавриата, специалитета, магистратуры(1,66% от контингента по субъекту РФ)"
20;"9 468";"студентов бакалавриата, специалитета, магистратуры(1,22% от контингента по субъекту РФ)"
21;"6 924";"студента бакалавриата, специалитета, магистратуры(0,89% от контингента по субъекту РФ)"
22;"26 507";"студентов бакалавриата, специалитета, магистратуры(3,41% от контингента по субъекту РФ)"
23;"4 326";"студентов бакалавриата, специалитета, магистратуры(0,56% от контингента по субъекту РФ)"
24;"22 566";"студентов бакалавриата, специалитета, магистратуры(2,91% от контингента по субъекту РФ)"
25;"3 939";"студентов бакалавриата, специалитета, магистратуры(0,51% от контингента по субъекту РФ)"
26;"6 141";"студент бакалавриата, специалитета, магистратуры(0,79% от контингента по субъекту РФ)"
27;"6 498";"студентов бакалавриата, специалитета, магистратуры(0,84% от контингента по субъекту РФ)"
28;"17 837";"студентов бакалавриата, специалитета, магистратуры(2,30% от контингента по субъекту РФ)"
29;"3 731";"студент бакалавриата, специалитета, магистратуры(0,48% от контингента по субъекту РФ)"
