idresearch_activities;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16
1;0;0;2380,04;0;0;186,84;3 325 108,00;85,08;93,2;1 910,10;6;0;51,45;0,7;0;16,21
2;0;0;18,24;0;0;46,91;43 639,00;7,47;100;284,29;0;0;8,92;0;2;0
3;0;0;4 259,23;0;0;484,15;1 496 568,30;51,71;63,39;1 217,22;0;0;16,32;2,45;1;9,32
4;0;0;3 938,91;0;0;395,7;3 729 789,20;35,7;91,16;3 694,82;34;0,77;33,92;1,71;3;30,72
5;0;0;1 086,44;0;0;196,18;745 831,70;34,44;90,78;2 182,99;28;0,02;18,8;0,91;2;17,72
6;0;0;712,11;0;0;242,6;699 733,60;11,84;94,68;841,53;2;0;16,54;0,93;10;0,67
7;0;0;469,52;0;0;296,4;83 122,30;4,94;100;153,75;0;0;13,8;0,14;5;1,74
8;0;0;7 025,46;0;0;265,74;1 928 558,90;27,66;90,68;2 527,78;9;0,03;25,5;1,42;14;26,54
9;0;0;864,34;0;0;210,42;5 127 712,60;18,77;95,66;969,36;9;0,03;21,02;1,17;26;10,87
10;0;0;3 801,87;0;0;354,96;1 612 293,80;24,66;94,41;2 843,10;5;0,08;14,22;0,44;11;18,25
11;0;0;1 803,26;0;0;606,2;551 632,20;4,18;93,98;132,39;10;0,01;23,01;2,27;32;9,03
12;0;0;2 364,14;0;0;341,13;898 571,50;10,11;95,49;689,7;0;0,79;11,81;1,49;5;0,37
13;0;0;2 322,31;0;0;306,11;115 800,00;11,32;96,35;451,19;1;0;7,64;0,78;3;2,63
14;0;0;1 421,93;0;0;348,56;2 211 129,90;21,51;93,08;1 242,13;6;0,02;12;1,13;3;5,92
15;0;0;1 530,09;0;0;139,89;386 333,80;14,92;89,77;530,28;8;0;12,95;0,58;5;0
16;0;0;466,13;0;0;164,38;59 704,50;5,65;83,16;305,2;0;0;7,35;0,34;1;3,79
17;0;0;2 689,24;0;0;280,08;171 616,90;9,21;99,88;61,73;6;0,08;25,89;0,85;4;5,98
18;0;0;500,47;0;0;252,73;929 685,30;17,57;99,79;1 206,84;2;0,04;21,55;2,07;4;0,81
19;0;0;5 127,42;0;0;710,02;803 200,20;15,12;100;513,68;41;0,1;30,06;1,63;5;1,46
20;0;0;951,09;0;0;107,95;33 913,90;0,97;100;38,04;0;0;1,72;1,84;3;0
21;0;0;860,17;0;0;272,26;560 183,40;21,82;88,26;777,8;7;0;13,81;1,46;5;9,4
22;0;0;623,04;0;0;104,15;864 051,70;9,79;96,02;244,64;2;0;23,09;1,71;2;3,43
23;0;0;167,37;0;0;335,64;3 364,30;0,22;100;15,02;0;0;7,42;1,36;2;2,23
24;0;0;3 735,78;0;0;299,56;2 654 579,70;22,33;83,61;830,75;11;0,06;11,29;1,39;9;3,75
25;0;0;2 800,07;0;0;137,22;159 338,10;11,58;53,64;501,12;1;0;14,97;0,66;1;1,79
26;0;0;1 934,60;0;0;342,23;149 525,90;9,72;86,66;733,35;2;0;25,1;4,47;2;0,4
27;0;0;9 965,50;0;0;659,86;141 169,70;10,41;100;607,35;0;0;16,74;1,08;0;0,49
28;0;0;1 695,51;0;0;463,5;1 552 304,00;20,51;81,55;1 458,10;18;0,15;22,57;1,62;4;10,84
29;0;0;1 454,17;0;0;399,41;31 458,50;2,63;100;73,01;0;0;11,4;1,44;2;0
