"idugns";"nameUgns";"shareStud";"shareUgnsFromTotalStud";"shareFromTotalStud";"numberUniverImplEducation";"numberOfBranches"
1;"02.00.00 - Компьютерные и информационные науки";"170";"30,50%";"7,60%";"12";"0"
1;"03.00.00 - Физика и астрономия";"61";"11,00%";"0,70%";"8";"0"
1;"09.00.00 - Информатика и вычислительная техника";"169";"30,30%";"0,40%";"48";"0"
1;"19.00.00 - Промышленная экология и биотехнологии";"82";"14,70%";"1,50%";"13";"1"
1;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"37";"6,60%";"0,40%";"11";"0"
1;"22.00.00 - Технологии материалов";"38";"6,80%";"1,30%";"11";"0"
2;"07.00.00 - Архитектура";"178,5";"18,10%";"2,80%";"10";"1"
2;"08.00.00 - Техника и технологии строительства";"151,1";"15,30%";"1,50%";"9";"0"
2;"09.00.00 - Информатика и вычислительная техника";"109,8";"11,10%";"0,30%";"48";"0"
2;"37.00.00 - Психологические науки";"74,8";"7,60%";"0,60%";"44";"0"
2;"38.00.00 - Экономика и управление";"27,8";"2,80%";"0,00%";"96";"1"
2;"40.00.00 - Юриспруденция";"25,1";"2,50%";"0,10%";"68";"0"
2;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"6,6";"0,70%";"0,00%";"47";"0"
2;"43.00.00 - Сервис и туризм";"27,1";"2,70%";"0,60%";"29";"0"
2;"44.00.00 - Образование и педагогические науки";"77,5";"7,80%";"0,30%";"32";"0"
2;"45.00.00 - Языкознание и литературоведение";"100";"10,10%";"0,50%";"37";"0"
2;"52.00.00 - Сценические искусства и литературное творчество";"29";"2,90%";"0,70%";"20";"0"
2;"54.00.00 - Изобразительное и прикладные виды искусств";"181,4";"18,40%";"1,50%";"35";"1"
3;"01.00.00 - Математика и механика";"85";"1,90%";"0,50%";"29";"0"
3;"02.00.00 - Компьютерные и информационные науки";"169";"3,90%";"7,50%";"12";"0"
3;"09.00.00 - Информатика и вычислительная техника";"1267,1";"28,90%";"3,30%";"48";"0"
3;"10.00.00 - Информационная безопасность";"530";"12,10%";"4,70%";"19";"0"
3;"11.00.00 - Электроника, радиотехника и системы связи";"1985,4";"45,30%";"18,70%";"11";"0"
3;"15.00.00 - Машиностроение";"94,7";"2,20%";"0,90%";"20";"0"
3;"27.00.00 - Управление в технических системах";"111,7";"2,60%";"1,30%";"27";"0"
3;"38.00.00 - Экономика и управление";"82,8";"1,90%";"0,10%";"96";"1"
3;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"57";"1,30%";"0,20%";"47";"0"
4;"01.00.00 - Математика и механика";"1051";"13,70%";"6,60%";"29";"0"
4;"03.00.00 - Физика и астрономия";"5373";"70,10%";"59,70%";"8";"0"
4;"09.00.00 - Информатика и вычислительная техника";"632";"8,30%";"1,70%";"48";"0"
4;"10.00.00 - Информационная безопасность";"57";"0,70%";"0,50%";"19";"0"
4;"14.00.00 - Ядерная энергетика и технологии";"8";"0,10%";"0,30%";"4";"0"
4;"16.00.00 - Физико-технические науки и технологии";"50";"0,70%";"4,10%";"7";"0"
4;"19.00.00 - Промышленная экология и биотехнологии";"257";"3,40%";"4,70%";"13";"1"
4;"27.00.00 - Управление в технических системах";"235";"3,10%";"2,80%";"27";"0"
4;"38.00.00 - Экономика и управление";"1";"0,00%";"0,00%";"96";"1"
5;"01.00.00 - Математика и механика";"153";"3,20%";"1,00%";"29";"0"
5;"09.00.00 - Информатика и вычислительная техника";"1573,5";"33,40%";"4,10%";"48";"0"
5;"10.00.00 - Информационная безопасность";"158";"3,40%";"1,40%";"19";"0"
5;"11.00.00 - Электроника, радиотехника и системы связи";"1538";"32,60%";"14,50%";"11";"0"
5;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"235";"5,00%";"5,40%";"9";"0"
5;"20.00.00 - Техносферная безопасность и природообустройство";"81";"1,70%";"2,30%";"21";"0"
5;"22.00.00 - Технологии материалов";"110";"2,30%";"3,90%";"11";"0"
5;"27.00.00 - Управление в технических системах";"188";"4,00%";"2,20%";"27";"0"
5;"28.00.00 - Нанотехнологии и наноматериалы";"38";"0,80%";"3,30%";"9";"0"
5;"38.00.00 - Экономика и управление";"282,2";"6,00%";"0,30%";"96";"1"
5;"40.00.00 - Юриспруденция";"51";"1,10%";"0,10%";"68";"0"
5;"45.00.00 - Языкознание и литературоведение";"241";"5,10%";"1,10%";"37";"0"
5;"54.00.00 - Изобразительное и прикладные виды искусств";"68";"1,40%";"0,50%";"35";"1"
6;"01.00.00 - Математика и механика";"119";"1,40%";"0,70%";"29";"0"
6;"05.00.00 - Науки о земле";"214";"2,50%";"3,80%";"16";"0"
6;"09.00.00 - Информатика и вычислительная техника";"356";"4,10%";"0,90%";"48";"0"
6;"10.00.00 - Информационная безопасность";"445";"5,10%";"3,90%";"19";"0"
6;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"136";"1,60%";"3,10%";"9";"0"
6;"13.00.00 - Электро- и теплоэнергетика";"143";"1,60%";"1,70%";"14";"0"
6;"15.00.00 - Машиностроение";"632";"7,20%";"6,10%";"20";"0"
6;"18.00.00 - Химические технологии";"1047,5";"12,00%";"13,90%";"11";"0"
6;"20.00.00 - Техносферная безопасность и природообустройство";"139";"1,60%";"3,90%";"21";"0"
6;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"3214,8";"36,80%";"33,20%";"11";"0"
6;"27.00.00 - Управление в технических системах";"286";"3,30%";"3,40%";"27";"0"
6;"38.00.00 - Экономика и управление";"1285,8";"14,70%";"1,20%";"96";"1"
6;"40.00.00 - Юриспруденция";"726,8";"8,30%";"1,70%";"68";"0"
6;"41.00.00 - Политические науки и регионоведение";"0,3";"0,00%";"0,00%";"28";"0"
6;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"2,5";"0,00%";"0,00%";"47";"0"
7;"01.00.00 - Математика и механика";"195";"2,30%";"1,20%";"29";"0"
7;"08.00.00 - Техника и технологии строительства";"225,1";"2,70%";"2,20%";"9";"0"
7;"09.00.00 - Информатика и вычислительная техника";"1889,4";"22,70%";"4,90%";"48";"0"
7;"10.00.00 - Информационная безопасность";"300";"3,60%";"2,60%";"19";"0"
7;"11.00.00 - Электроника, радиотехника и системы связи";"147";"1,80%";"1,40%";"11";"0"
7;"13.00.00 - Электро- и теплоэнергетика";"500,6";"6,00%";"5,90%";"14";"0"
7;"15.00.00 - Машиностроение";"768";"9,20%";"7,40%";"20";"0"
7;"16.00.00 - Физико-технические науки и технологии";"113";"1,40%";"9,30%";"7";"0"
7;"18.00.00 - Химические технологии";"158";"1,90%";"2,10%";"11";"0"
7;"19.00.00 - Промышленная экология и биотехнологии";"226,8";"2,70%";"4,20%";"13";"1"
7;"20.00.00 - Техносферная безопасность и природообустройство";"220,1";"2,60%";"6,20%";"21";"0"
7;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"76,1";"0,90%";"0,80%";"11";"0"
7;"22.00.00 - Технологии материалов";"247,8";"3,00%";"8,70%";"11";"0"
7;"23.00.00 - Техника и технологии наземного транспорта";"494,2";"5,90%";"4,40%";"12";"0"
7;"27.00.00 - Управление в технических системах";"567,5";"6,80%";"6,80%";"27";"0"
7;"29.00.00 - Технологии легкой промышленности";"382,4";"4,60%";"17,10%";"7";"0"
7;"38.00.00 - Экономика и управление";"330,2";"4,00%";"0,30%";"96";"1"
7;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"781,9";"9,40%";"3,20%";"47";"0"
7;"54.00.00 - Изобразительное и прикладные виды искусств";"700,5";"8,40%";"5,60%";"35";"1"
8;"01.00.00 - Математика и механика";"365";"4,30%";"2,30%";"29";"0"
8;"03.00.00 - Физика и астрономия";"188";"2,20%";"2,10%";"8";"0"
8;"09.00.00 - Информатика и вычислительная техника";"2199";"26,10%";"5,70%";"48";"0"
8;"11.00.00 - Электроника, радиотехника и системы связи";"304";"3,60%";"2,90%";"11";"0"
8;"13.00.00 - Электро- и теплоэнергетика";"191";"2,30%";"2,30%";"14";"0"
8;"15.00.00 - Машиностроение";"464";"5,50%";"4,50%";"20";"0"
8;"16.00.00 - Физико-технические науки и технологии";"1";"0,00%";"0,10%";"7";"0"
